instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
5,8,3,dense,correlated,0.3,18,22,0.8181818181818182,4,0.18181818181818182,True,True,True,True
1,8,3,dense,correlated,0.8,36,51,0.7058823529411765,15,0.29411764705882354,True,True,True,True
2,8,3,dense,correlated,0.8,68,68,1.0,0,0.0,True,True,True,True
3,8,3,dense,correlated,0.8,75,80,0.9375,5,0.0625,True,True,True,True
4,8,3,dense,correlated,0.8,77,82,0.9390243902439024,5,0.06097560975609756,True,True,True,True
5,8,3,dense,correlated,0.8,60,77,0.7792207792207793,17,0.22077922077922077,True,True,True,True
1,8,3,dense,anticorrelated,0.3,28,40,0.7,12,0.3,True,True,True,True
2,8,3,dense,anticorrelated,0.3,48,61,0.7868852459016393,13,0.21311475409836064,True,True,True,True
3,8,3,dense,anticorrelated,0.3,44,44,1.0,0,0.0,True,True,True,True
4,8,3,dense,anticorrelated,0.3,40,40,1.0,0,0.0,True,True,True,True
5,8,3,dense,anticorrelated,0.3,36,36,1.0,0,0.0,True,True,True,True
1,8,3,dense,anticorrelated,0.8,78,109,0.7155963302752294,31,0.28440366972477066,True,True,True,True
2,8,3,dense,anticorrelated,0.8,160,170,0.9411764705882353,10,0.058823529411764705,True,True,True,True
3,8,3,dense,anticorrelated,0.8,132,133,0.9924812030075187,1,0.007518796992481203,True,True,True,True
4,8,3,dense,anticorrelated,0.8,140,140,1.0,0,0.0,True,True,True,True
5,8,3,dense,anticorrelated,0.8,108,130,0.8307692307692308,22,0.16923076923076924,True,True,True,True
1,8,3,sparse,random,0.3,38,68,0.5588235294117647,30,0.4411764705882353,True,True,True,True
2,8,3,sparse,random,0.3,97,245,0.39591836734693875,148,0.6040816326530613,True,True,True,True
3,8,3,sparse,random,0.3,99,197,0.5025380710659898,98,0.49746192893401014,True,True,True,True
4,8,3,sparse,random,0.3,94,102,0.9215686274509803,8,0.0784313725490196,True,True,True,True
5,8,3,sparse,random,0.3,150,237,0.6329113924050633,87,0.3670886075949367,True,True,True,True
1,8,3,sparse,random,0.8,120,265,0.4528301886792453,145,0.5471698113207547,True,True,True,True
2,8,3,sparse,random,0.8,324,659,0.49165402124430957,335,0.5083459787556904,True,True,True,True
3,8,3,sparse,random,0.8,392,591,0.6632825719120136,199,0.33671742808798644,True,True,True,True
4,8,3,sparse,random,0.8,376,432,0.8703703703703703,56,0.12962962962962962,True,True,True,True
5,8,3,sparse,random,0.8,450,568,0.7922535211267606,118,0.20774647887323944,True,True,True,True
1,8,3,sparse,correlated,0.3,1,2,0.5,1,0.5,True,True,True,True
2,8,3,sparse,correlated,0.3,6,9,0.6666666666666666,3,0.3333333333333333,True,True,True,True
3,8,3,sparse,correlated,0.3,10,16,0.625,6,0.375,True,True,True,True
